,AgentID,AgentStrategy,EventType,Event
393,394,NoiseAgent,STARTING_CASH,10000000.0
394,395,NoiseAgent,STARTING_CASH,10000000.0
395,396,NoiseAgent,STARTING_CASH,10000000.0
396,397,NoiseAgent,STARTING_CASH,10000000.0
397,398,NoiseAgent,STARTING_CASH,10000000.0
398,399,NoiseAgent,STARTING_CASH,10000000.0
399,400,NoiseAgent,STARTING_CASH,10000000.0
400,401,NoiseAgent,STARTING_CASH,10000000.0
401,402,NoiseAgent,STARTING_CASH,10000000.0
402,403,NoiseAgent,STARTING_CASH,10000000.0
403,404,NoiseAgent,STARTING_CASH,10000000.0
404,405,NoiseAgent,STARTING_CASH,10000000.0
405,406,NoiseAgent,STARTING_CASH,10000000.0
406,407,NoiseAgent,STARTING_CASH,10000000.0
407,408,NoiseAgent,STARTING_CASH,10000000.0
408,409,NoiseAgent,STARTING_CASH,10000000.0
409,410,NoiseAgent,STARTING_CASH,10000000.0
410,411,NoiseAgent,STARTING_CASH,10000000.0
411,412,NoiseAgent,STARTING_CASH,10000000.0
412,413,NoiseAgent,STARTING_CASH,10000000.0
413,414,NoiseAgent,STARTING_CASH,10000000.0
414,415,NoiseAgent,STARTING_CASH,10000000.0
415,416,NoiseAgent,STARTING_CASH,10000000.0
416,417,NoiseAgent,STARTING_CASH,10000000.0
417,418,NoiseAgent,STARTING_CASH,10000000.0
418,419,NoiseAgent,STARTING_CASH,10000000.0
419,420,NoiseAgent,STARTING_CASH,10000000.0
420,421,NoiseAgent,STARTING_CASH,10000000.0
421,422,NoiseAgent,STARTING_CASH,10000000.0
422,423,NoiseAgent,STARTING_CASH,10000000.0
423,424,NoiseAgent,STARTING_CASH,10000000.0
424,425,NoiseAgent,STARTING_CASH,10000000.0
425,426,NoiseAgent,STARTING_CASH,10000000.0
426,427,NoiseAgent,STARTING_CASH,10000000.0
427,428,NoiseAgent,STARTING_CASH,10000000.0
428,429,NoiseAgent,STARTING_CASH,10000000.0
429,430,NoiseAgent,STARTING_CASH,10000000.0
430,431,NoiseAgent,STARTING_CASH,10000000.0
431,432,NoiseAgent,STARTING_CASH,10000000.0
432,433,NoiseAgent,STARTING_CASH,10000000.0
433,434,NoiseAgent,STARTING_CASH,10000000.0
434,435,NoiseAgent,STARTING_CASH,10000000.0
435,436,NoiseAgent,STARTING_CASH,10000000.0
436,437,NoiseAgent,STARTING_CASH,10000000.0
437,438,NoiseAgent,STARTING_CASH,10000000.0
438,439,NoiseAgent,STARTING_CASH,10000000.0
439,440,NoiseAgent,STARTING_CASH,10000000.0
440,441,NoiseAgent,STARTING_CASH,10000000.0
441,442,NoiseAgent,STARTING_CASH,10000000.0
442,443,NoiseAgent,STARTING_CASH,10000000.0
443,444,NoiseAgent,STARTING_CASH,10000000.0
444,445,NoiseAgent,STARTING_CASH,10000000.0
445,446,NoiseAgent,STARTING_CASH,10000000.0
446,447,NoiseAgent,STARTING_CASH,10000000.0
447,448,NoiseAgent,STARTING_CASH,10000000.0
448,449,NoiseAgent,STARTING_CASH,10000000.0
449,450,NoiseAgent,STARTING_CASH,10000000.0
450,451,NoiseAgent,STARTING_CASH,10000000.0
451,452,NoiseAgent,STARTING_CASH,10000000.0
452,453,NoiseAgent,STARTING_CASH,10000000.0
453,454,NoiseAgent,STARTING_CASH,10000000.0
454,455,NoiseAgent,STARTING_CASH,10000000.0
455,456,NoiseAgent,STARTING_CASH,10000000.0
456,457,NoiseAgent,STARTING_CASH,10000000.0
457,458,NoiseAgent,STARTING_CASH,10000000.0
458,459,NoiseAgent,STARTING_CASH,10000000.0
459,460,NoiseAgent,STARTING_CASH,10000000.0
460,461,NoiseAgent,STARTING_CASH,10000000.0
461,462,NoiseAgent,STARTING_CASH,10000000.0
462,463,NoiseAgent,STARTING_CASH,10000000.0
463,464,NoiseAgent,STARTING_CASH,10000000.0
464,465,NoiseAgent,STARTING_CASH,10000000.0
465,466,NoiseAgent,STARTING_CASH,10000000.0
466,467,NoiseAgent,STARTING_CASH,10000000.0
467,468,NoiseAgent,STARTING_CASH,10000000.0
468,469,NoiseAgent,STARTING_CASH,10000000.0
469,470,NoiseAgent,STARTING_CASH,10000000.0
470,471,NoiseAgent,STARTING_CASH,10000000.0
471,472,NoiseAgent,STARTING_CASH,10000000.0
472,473,NoiseAgent,STARTING_CASH,10000000.0
473,474,NoiseAgent,STARTING_CASH,10000000.0
474,475,NoiseAgent,STARTING_CASH,10000000.0
475,476,NoiseAgent,STARTING_CASH,10000000.0
476,477,NoiseAgent,STARTING_CASH,10000000.0
477,478,NoiseAgent,STARTING_CASH,10000000.0
478,479,NoiseAgent,STARTING_CASH,10000000.0
479,480,NoiseAgent,STARTING_CASH,10000000.0
480,481,NoiseAgent,STARTING_CASH,10000000.0
481,482,NoiseAgent,STARTING_CASH,10000000.0
482,483,NoiseAgent,STARTING_CASH,10000000.0
483,484,NoiseAgent,STARTING_CASH,10000000.0
484,485,NoiseAgent,STARTING_CASH,10000000.0
485,486,NoiseAgent,STARTING_CASH,10000000.0
486,487,NoiseAgent,STARTING_CASH,10000000.0
487,488,NoiseAgent,STARTING_CASH,10000000.0
488,489,NoiseAgent,STARTING_CASH,10000000.0
489,490,NoiseAgent,STARTING_CASH,10000000.0
490,491,NoiseAgent,STARTING_CASH,10000000.0
491,492,NoiseAgent,STARTING_CASH,10000000.0
492,493,NoiseAgent,STARTING_CASH,10000000.0
493,494,NoiseAgent,STARTING_CASH,10000000.0
494,495,NoiseAgent,STARTING_CASH,10000000.0
495,496,NoiseAgent,STARTING_CASH,10000000.0
496,497,NoiseAgent,STARTING_CASH,10000000.0
497,498,NoiseAgent,STARTING_CASH,10000000.0
498,499,NoiseAgent,STARTING_CASH,10000000.0
499,500,NoiseAgent,STARTING_CASH,10000000.0
500,501,NoiseAgent,STARTING_CASH,10000000.0
501,502,NoiseAgent,STARTING_CASH,10000000.0
502,503,NoiseAgent,STARTING_CASH,10000000.0
503,504,NoiseAgent,STARTING_CASH,10000000.0
504,505,NoiseAgent,STARTING_CASH,10000000.0
505,506,NoiseAgent,STARTING_CASH,10000000.0
506,507,NoiseAgent,STARTING_CASH,10000000.0
507,508,NoiseAgent,STARTING_CASH,10000000.0
508,509,NoiseAgent,STARTING_CASH,10000000.0
509,510,NoiseAgent,STARTING_CASH,10000000.0
510,511,NoiseAgent,STARTING_CASH,10000000.0
511,512,NoiseAgent,STARTING_CASH,10000000.0
512,513,NoiseAgent,STARTING_CASH,10000000.0
513,514,NoiseAgent,STARTING_CASH,10000000.0
514,515,NoiseAgent,STARTING_CASH,10000000.0
