EventTime,EventType,Event
1.6124832000004518e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1408)
1.6124832000004518e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1409)
1.6124832000004564e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1544)
1.6124832000004564e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1545)
1.6124832000004618e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2180)
1.6124832000004618e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2181)
1.612483200000469e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2242)
1.612483200000469e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2243)
1.612483200000476e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2910)
1.612483200000476e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2911)
1.6124832000004918e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2228)
1.6124832000004918e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2229)
1.6124832000004923e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1700)
1.6124832000004923e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1701)
1.6124832000004943e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2094)
1.6124832000004943e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2095)
1.612483200000511e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2524)
1.612483200000511e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2525)
1.6124832000005146e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1554)
1.6124832000005146e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1555)
1.6124832000005253e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3148)
1.6124832000005253e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3149)
1.6124832000005322e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2010)
1.6124832000005322e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2011)
1.6124832000005494e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1236)
1.6124832000005494e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1237)
1.612483200000553e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1806)
1.612483200000553e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1807)
1.6124832000005612e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2538)
1.6124832000005612e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2539)
1.6124832000005921e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2966)
1.6124832000005921e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2967)
1.6124832000005926e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2348)
1.6124832000005926e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2349)
